Name_in_Tree,Latitude,Longitude
Antechinus.agilis,-38.52,146.38
Antechinus.agilis,-38.5,143.7
Antechinus.agilis,-38.5,143.72
Antechinus.agilis,-38.5,143.83
Antechinus.agilis,-38.5,146.17
Antechinus.agilis,-38.5,146.33
Antechinus.agilis,-38.48,143.72
Antechinus.agilis,-38.48,143.93
Antechinus.agilis,-38.48,146.75
Antechinus.agilis,-38.47,143.9
Antechinus.agilis,-38.47,143.93
Antechinus.agilis,-38.47,146.83
Antechinus.agilis,-38.45,143.22
Antechinus.agilis,-38.45,146.5
Antechinus.agilis,-38.43,143.75
Antechinus.agilis,-38.43,145.05
Antechinus.agilis,-38.43,145.95
Antechinus.agilis,-38.425,146.572
Antechinus.agilis,-38.42,142.73
Antechinus.agilis,-38.42,142.8
Antechinus.agilis,-38.42,143.88
Antechinus.agilis,-38.42,143.97
Antechinus.agilis,-38.42,144.18
Antechinus.agilis,-38.42,145.07
Antechinus.agilis,-38.42,146.55
Antechinus.agilis,-38.42,146.85
Antechinus.agilis,-38.4,142.68
Antechinus.agilis,-38.4,142.72
Antechinus.agilis,-38.4,142.8
Antechinus.agilis,-38.4,144.05
Antechinus.agilis,-38.4,145.07
Antechinus.agilis,-38.4,146.47
Antechinus.agilis,-38.4,146.57
Antechinus.agilis,-38.394,145.163
Antechinus.agilis,-38.38,144.25
Antechinus.agilis,-38.38,146.75
Antechinus.agilis,-38.37,143.95
Antechinus.agilis,-38.37,144.88
Antechinus.agilis,-38.37,145.18
Antechinus.agilis,-38.37,145.72
Antechinus.agilis,-38.37,146.2
Antechinus.agilis,-38.37,146.22
Antechinus.agilis,-38.35,141.6
Antechinus.agilis,-38.35,143.88
Antechinus.agilis,-38.35,143.95
Antechinus.agilis,-38.35,144.18
Antechinus.agilis,-38.35,144.75
Antechinus.agilis,-38.35,144.92
Antechinus.agilis,-38.35,144.95
Antechinus.agilis,-38.35,145.37
Antechinus.agilis,-38.35,146.25
Antechinus.agilis,-38.33,142.33
Antechinus.agilis,-38.33,143.17
Antechinus.agilis,-38.33,143.28
Antechinus.agilis,-38.33,144.03
Antechinus.agilis,-38.33,144.97
Antechinus.agilis,-38.32,143.07
Antechinus.agilis,-38.32,146.45
Antechinus.agilis,-38.32,146.75
Antechinus.agilis,-38.32,147
Antechinus.agilis,-38.3,144.03
Antechinus.agilis,-38.3,146.85
Antechinus.agilis,-38.3,146.88
Antechinus.agilis,-38.28,145.98
Antechinus.agilis,-38.27,144.03
Antechinus.agilis,-38.27,145.18
Antechinus.agilis,-38.27,145.22
Antechinus.agilis,-38.27,145.57
Antechinus.agilis,-38.27,145.98
Antechinus.agilis,-38.27,146.23
Antechinus.agilis,-38.27,146.42
Antechinus.agilis,-38.27,146.55
Antechinus.agilis,-38.25,141.38
Antechinus.agilis,-38.25,145.1
Antechinus.agilis,-38.25,146
Antechinus.agilis,-38.25,147.25
Antechinus.agilis,-38.23,141.53
Antechinus.agilis,-38.23,141.65
Antechinus.agilis,-38.23,141.67
Antechinus.agilis,-38.23,145.18
Antechinus.agilis,-38.23,146.9
Antechinus.agilis,-38.23,146.93
Antechinus.agilis,-38.22,141.43
Antechinus.agilis,-38.22,141.62
Antechinus.agilis,-38.22,141.7
