Name_in_Tree,Latitude,Longitude
Varanus.acanthurus,-15.917,135.317
Varanus.acanthurus,-19.383,135.283
Varanus.acanthurus,-19.879854,135.244169
Varanus.acanthurus,-20.95,135.22
Varanus.acanthurus,-19.31884,135.21801
Varanus.acanthurus,-20.94855238,135.2178984
Varanus.acanthurus,-18.16522565,135.2178775
Varanus.acanthurus,-18.16522689,135.2178705
Varanus.acanthurus,-20.7566,135.1874
Varanus.acanthurus,-20.75861,135.18722
Varanus.acanthurus,-19.066,135.183
Varanus.acanthurus,-23.01522273,135.151247
Varanus.acanthurus,-14.87856451,135.1211882
Varanus.acanthurus,-22.42,135.12
Varanus.acanthurus,-16.75,135.05
Varanus.acanthurus,-23.14855366,135.0412493
Varanus.acanthurus,-16.73188986,135.01787
Varanus.acanthurus,-16.71523028,134.9512006
Varanus.acanthurus,-14.803,134.939
Varanus.acanthurus,-23.733,134.933
Varanus.acanthurus,-16.63189106,134.8512011
Varanus.acanthurus,-20.59855532,134.8345594
Varanus.acanthurus,-20.59856137,134.8345558
Varanus.acanthurus,-23.27,134.82
Varanus.acanthurus,-14.733,134.733
Varanus.acanthurus,-14.67856716,134.7311909
Varanus.acanthurus,-14.68,134.73
Varanus.acanthurus,-23.5,134.72
Varanus.acanthurus,-23.49855647,134.7179259
Varanus.acanthurus,-23.48188645,134.7179258
Varanus.acanthurus,-23.49855755,134.7179184
Varanus.acanthurus,-23.48189206,134.7179147
Varanus.acanthurus,-23.483,134.717
Varanus.acanthurus,-23.5,134.717
Varanus.acanthurus,-22.579062,134.716863
Varanus.acanthurus,-23.4485567,134.6845858
Varanus.acanthurus,-19.4,134.5
Varanus.acanthurus,-14.29779511,134.4923942
Varanus.acanthurus,-23.64855875,134.45126
Varanus.acanthurus,-19.433,134.45
Varanus.acanthurus,-20.46522823,134.4345623
Varanus.acanthurus,-19.86522861,134.4345576
Varanus.acanthurus,-20.467,134.433
Varanus.acanthurus,-14.72837,134.43258
Varanus.acanthurus,-14.84176,134.42539
Varanus.acanthurus,-23.52855927,134.3731997
Varanus.acanthurus,-23.58855943,134.3612604
Varanus.acanthurus,-19.7,134.35
Varanus.acanthurus,-23.01522958,134.2845857
Varanus.acanthurus,-20.56855927,134.2812346
Varanus.acanthurus,-20.567,134.267
Varanus.acanthurus,-20.48638,134.2525
Varanus.acanthurus,-20.485,134.252
Varanus.acanthurus,-20.63188946,134.2512354
Varanus.acanthurus,-16.08333,134.25
Varanus.acanthurus,-20.49,134.25
Varanus.acanthurus,-20.53,134.25
Varanus.acanthurus,-20.533,134.25
Varanus.acanthurus,-20.8,134.233
Varanus.acanthurus,-23.17856012,134.2312578
Varanus.acanthurus,-19.55535,134.22908
Varanus.acanthurus,-19.55529,134.22891
